SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
10,0,0,0,United States,331464948,331526933,332048977,333271411,334914895,61985,522044,1222434,1643484,894123,3584459,3679254,3653356,852024,3438423,3456087,3148861,42099,146036,223167,504495,19886,376008,999267,1138989,0,0,0,0,19886,376008,999267,1138989,0,0,0,0,10.80346331,11.06009696,10.93514179,10.36331473,10.38924122,9.425098874,0.440148588,0.670855738,1.510042919,1.13327803,3.003867063,3.409195878,0,0,0,1.13327803,3.003867063,3.409195878
20,1,0,0,Northeast Region,57614141,57430477,57243423,57026847,56983517,-183664,-187054,-216576,-43330,146099,572860,588927,581516,193163,560547,563354,525863,-47064,12313,25573,55653,4432,80448,210145,225009,-131531,-276548,-450321,-323300,-127099,-196100,-240176,-98291,-9501,-3267,-1973,-692,9.991113933,10.30761545,10.20110768,9.776365851,9.86002746,9.224828017,0.214748081,0.447587986,0.976279665,1.403074283,3.67803454,3.94716747,-4.823207373,-7.881682611,-5.671414223,-3.42013309,-4.20364807,-1.724246754
30,1,1,0,New England,15119994,15057898,15106108,15120739,15159777,-62096,48210,14631,39038,35418,139200,144753,142522,46210,143827,149344,142818,-10792,-4627,-4591,-296,1562,26735,68504,76068,-46076,24369,-46644,-37031,-44514,51104,21860,39037,-6790,1733,-2638,297,9.229543317,9.577777001,9.413445927,9.536332807,9.881546693,9.432996452,-0.306789489,-0.303769692,-0.019550525,1.772642533,4.532659328,5.024220855,1.615766818,-3.086263016,-2.445863208,3.388409351,1.446396311,2.578357648
30,1,2,0,Middle Atlantic,42494147,42372579,42137315,41906108,41823740,-121568,-235264,-231207,-82368,110681,433660,444174,438994,146953,416720,414010,383045,-36272,16940,30164,55949,2870,53713,141641,148941,-85455,-300917,-403677,-286269,-82585,-247204,-262036,-137328,-2711,-5000,665,-989,10.26294034,10.57010731,10.48596195,9.862040532,9.852287906,9.149544855,0.400899805,0.717819406,1.336417092,1.27116477,3.37066233,3.557656046,-7.121462015,-9.60639121,-6.837919973,-5.850297244,-6.23572888,-3.280263927
20,2,0,0,Midwest Region,68987296,68969794,68850246,68783028,68909283,-17502,-119548,-67218,126255,190125,748083,753976,746365,186179,762461,771652,700527,3946,-14378,-17676,45838,3074,55313,144422,165910,-35580,-177584,-181443,-85729,-32506,-122271,-37021,80181,11058,17101,-12521,236,10.85593938,10.95630407,10.84105561,11.06458829,11.21316056,10.17525227,-0.208648902,-0.256856492,0.665803336,0.802684428,2.098649488,2.409865864,-2.577041771,-2.636615329,-1.245225668,-1.774357343,-0.537965841,1.164640196
30,2,3,0,East North Central,47369629,47345074,47187461,47098310,47146039,-24555,-157613,-89151,47729,127370,500704,503757,497398,133435,530262,537410,484782,-6065,-29558,-33653,12616,1988,37025,97108,122912,-28662,-176319,-143450,-88006,-26674,-139294,-46342,34906,8184,11239,-9156,207,10.59326294,10.68574812,10.5554976,11.21861378,11.3995992,10.28776802,-0.625350838,-0.713851086,0.26772958,0.783328195,2.059865428,2.608368593,-3.730334747,-3.042876958,-1.867613304,-2.947006552,-0.98301153,0.740755289
30,2,4,0,West North Central,21617667,21624720,21662785,21684718,21763244,7053,38065,21933,78526,62755,247379,250219,248967,52744,232199,234242,215745,10011,15180,15977,33222,1086,18288,47314,42998,-6918,-1265,-37993,2277,-5832,17023,9321,45275,2874,5862,-3365,29,11.42957997,11.54479417,11.4604685,10.72822284,10.80763522,9.931190789,0.701357124,0.737158955,1.529277714,0.844955144,2.18300925,1.979287314,-0.058446427,-1.752949876,0.104815043,0.786508717,0.430059374,2.084102357
20,3,0,0,South Region,126268529,126465281,127353282,128702030,130125290,196752,888001,1348748,1423260,348216,1426585,1480366,1485069,314490,1404637,1415735,1267727,33726,21948,64631,217342,8933,155218,407229,499880,158469,715886,856381,706266,167402,871104,1263610,1206146,-4376,-5051,20507,-228,11.2409824,11.56286107,11.47536512,11.06803997,11.05804046,9.795928807,0.172942434,0.504820615,1.679436313,1.223062633,3.180789313,3.862652521,5.640927059,6.689031314,5.457430074,6.863989692,9.869820627,9.320082594
30,3,5,0,South Atlantic,66091701,66174797,66673601,67445114,68225883,83096,498804,771513,780769,172106,699224,728053,727224,168566,727717,744116,671967,3540,-28493,-16063,55257,6004,97722,254571,318731,81223,435697,517949,406986,87227,533419,772520,725717,-7671,-6122,15056,-205,10.52664557,10.85684425,10.72040475,10.95560068,11.09637831,9.905831237,-0.428955116,-0.239534058,0.814573508,1.471180706,3.796203982,4.698587127,6.559311314,7.723739375,5.999602111,8.03049202,11.51994336,10.69818924
30,3,6,0,East South Central,19402683,19424519,19471271,19573370,19700801,21836,46752,102099,127431,54199,223015,227329,227503,56557,258644,260967,231446,-2358,-35629,-33638,-3943,513,7304,18358,30865,23124,72716,115930,100512,23637,80020,134288,131377,557,2361,1449,-3,11.4673079,11.64456859,11.58537503,13.29933137,13.36762195,11.78616857,-1.832023466,-1.723053363,-0.200793544,0.375567639,0.940359523,1.571770923,3.739016485,5.938330948,5.118478503,4.114584123,6.878690471,6.690249426
30,3,7,0,West South Central,40774145,40865965,41208410,41683546,42198606,91820,342445,475136,515060,121911,504346,524984,530342,89367,418276,410652,364314,32544,86070,114332,166028,2416,50192,134300,150284,54122,207473,222502,198768,56538,257665,356802,349052,2738,-1290,4002,-20,12.28997479,12.66670556,12.64493071,10.19260884,9.90812667,8.686329364,2.097365956,2.75857889,3.958601348,1.223085768,3.240362672,3.58321756,5.055731463,5.368482317,4.739220329,6.278817231,8.608844989,8.322437889
20,4,0,0,West Region,78594982,78661381,78602026,78759506,78896805,66399,-59355,157480,137299,209683,836931,855985,840406,158192,710778,705346,654744,51491,126153,150639,185662,3447,85029,237471,248190,8642,-261754,-224617,-297237,12089,-176725,12854,-49047,2819,-8783,-6013,684,10.64368394,10.87921539,10.66124147,9.039331063,8.964655987,8.305966261,1.60435288,1.914559398,2.355275204,1.081357725,3.018158212,3.148494322,-3.328860858,-2.854789187,-3.770695865,-2.247503133,0.163369025,-0.622201543
30,4,8,0,Mountain,24925576,25004426,25277400,25522359,25716830,78850,272974,244959,194471,68922,277182,282566,280284,54872,241248,250269,222699,14050,35934,32297,57585,1032,21392,58125,57354,64772,215203,153301,79197,65804,236595,211426,136551,-1004,445,1236,335,11.0251366,11.12469845,10.94022,9.595832896,9.853156981,8.69252634,1.429303701,1.271541465,2.247693655,0.850883976,2.288396683,2.238677119,8.55987211,6.035501074,3.091266726,9.410756085,8.323897757,5.329943844
30,4,9,0,Pacific,53669406,53656955,53324626,53237147,53179975,-12451,-332329,-87479,-57172,140761,559749,573419,560122,103320,469530,455077,432045,37441,90219,118342,128077,2415,63637,179346,190836,-56130,-476957,-377918,-376434,-53715,-413320,-198572,-185598,3823,-9228,-7249,349,10.46439948,10.76218955,10.52691502,8.77777269,8.541092874,8.119839963,1.686626785,2.221096678,2.407075057,1.189681428,3.366047598,3.586565703,-8.916619021,-7.09293754,-7.074688601,-7.726937593,-3.726889942,-3.488122898
40,3,6,1,Alabama,5024294,5031864,5050380,5073903,5108468,7570,18516,23523,34565,13867,57184,58106,58251,15165,69135,67208,59813,-1298,-11951,-9102,-1562,125,1806,4374,5384,9615,27715,28464,30744,9740,29521,32838,36128,-872,946,-213,-1,11.34350647,11.47854125,11.4415395,13.71420886,13.2765945,11.74834427,-2.370702395,-1.798053255,-0.306804771,0.358253579,0.864061188,1.057514011,5.497784025,5.622916704,6.038672133,5.856037604,6.486977893,7.096186144
40,4,9,2,Alaska,733374,732964,734923,733276,733406,-410,1959,-1647,130,2406,9453,9356,9266,1171,5330,6340,5581,1235,4123,3016,3685,63,873,2356,2004,-1663,-2948,-7202,-5543,-1600,-2075,-4846,-3539,-45,-89,183,-16,12.87973802,12.74486633,12.63532245,7.262139388,8.636431437,7.610374982,5.61759863,4.108434892,5.024947467,1.189464857,3.209374206,2.732698704,-4.016657958,-9.810659182,-7.558557342,-2.827193101,-6.601284976,-4.825858639
40,4,8,4,Arizona,7157902,7186683,7272487,7365684,7431344,28781,85804,93197,65660,18110,75693,79137,78494,18025,80276,79807,70792,85,-4583,-670,7702,253,8010,22296,21635,29980,82290,69798,36179,30233,90300,92094,57814,-1537,87,1773,144,10.46989558,10.81241639,10.60942779,11.10381855,10.90395788,9.568407926,-0.633922971,-0.091541491,1.041019859,1.107947413,3.046282217,2.924235867,11.38239609,9.536437305,4.890036026,12.4903435,12.58271952,7.814271893
40,3,7,5,Arkansas,3011490,3014348,3028443,3046404,3067732,2858,14095,17961,21328,8509,34927,36298,35566,8475,40180,40362,36473,34,-5253,-4064,-907,94,1346,3215,4096,2537,17806,18841,18106,2631,19152,22056,22202,193,196,-31,33,11.55989012,11.95025982,11.63402319,13.29849071,13.2882359,11.9307127,-1.73860059,-1.337976084,-0.296689508,0.44548951,1.058462872,1.339845892,5.893303277,6.202954577,5.922668387,6.338792786,7.261417448,7.262514278
